epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,2470.46,0.6426,0.73631,1.07769,0.97752,0.97953,0.99187,0.86167,0.56414,0.34313,0.97416,9.12184e-05,9.12184e-05,9.12184e-05
56,2514.05,0.63889,0.72984,1.07234,0.98122,0.97916,0.99192,0.86102,0.56269,0.34284,0.97275,8.9278e-05,8.9278e-05,8.9278e-05
57,2558.42,0.63899,0.73043,1.07197,0.97663,0.98177,0.99225,0.85909,0.56377,0.3414,0.97345,8.73376e-05,8.73376e-05,8.73376e-05
58,2602.39,0.63489,0.72321,1.06965,0.98255,0.97767,0.99224,0.86329,0.5579,0.3371,0.97144,8.53972e-05,8.53972e-05,8.53972e-05
59,2646.11,0.6359,0.72608,1.07289,0.98328,0.97764,0.99227,0.86127,0.56044,0.3357,0.97257,8.34568e-05,8.34568e-05,8.34568e-05
60,2690.89,0.64003,0.72843,1.07315,0.98112,0.97985,0.99219,0.86233,0.55544,0.33573,0.97042,8.15164e-05,8.15164e-05,8.15164e-05
61,2734.65,0.63253,0.71793,1.07066,0.98204,0.97956,0.99223,0.86095,0.56165,0.33558,0.97261,7.9576e-05,7.9576e-05,7.9576e-05
62,2778.16,0.62951,0.71181,1.06629,0.98463,0.97984,0.99232,0.86276,0.55524,0.33324,0.97016,7.76356e-05,7.76356e-05,7.76356e-05
63,2822.36,0.62591,0.70561,1.06353,0.98322,0.98002,0.99241,0.8628,0.5569,0.33308,0.97142,7.56952e-05,7.56952e-05,7.56952e-05
64,2867.25,0.61987,0.70161,1.06105,0.98028,0.98249,0.99223,0.8623,0.55365,0.33167,0.97002,7.37548e-05,7.37548e-05,7.37548e-05
65,2911.83,0.62733,0.70422,1.06609,0.98279,0.97949,0.99246,0.86323,0.5541,0.33147,0.96938,7.18144e-05,7.18144e-05,7.18144e-05
66,2956.74,0.62391,0.70354,1.06138,0.98319,0.9788,0.99237,0.86284,0.55586,0.33009,0.96876,6.9874e-05,6.9874e-05,6.9874e-05
67,3001.39,0.62054,0.69512,1.06047,0.97972,0.98246,0.99249,0.86316,0.55621,0.32756,0.97015,6.79336e-05,6.79336e-05,6.79336e-05
68,3046.03,0.62236,0.70069,1.06519,0.9815,0.98045,0.99244,0.8608,0.56038,0.32883,0.97167,6.59932e-05,6.59932e-05,6.59932e-05
69,3090.56,0.61844,0.68919,1.05884,0.98213,0.97882,0.99239,0.86372,0.55328,0.32782,0.96796,6.40528e-05,6.40528e-05,6.40528e-05
70,3135.34,0.6165,0.69437,1.05992,0.98717,0.9787,0.99256,0.86315,0.55517,0.32415,0.96841,6.21124e-05,6.21124e-05,6.21124e-05
71,3180.1,0.61412,0.68839,1.05886,0.98572,0.97655,0.99238,0.86498,0.55073,0.32524,0.96663,6.0172e-05,6.0172e-05,6.0172e-05
72,3224.81,0.61431,0.68512,1.05541,0.98511,0.97823,0.99242,0.86368,0.55532,0.32521,0.96842,5.82316e-05,5.82316e-05,5.82316e-05
73,3269.76,0.61239,0.68148,1.0537,0.98407,0.9798,0.99242,0.86529,0.5493,0.32536,0.96658,5.62912e-05,5.62912e-05,5.62912e-05
74,3314.63,0.61341,0.67504,1.05676,0.9847,0.98159,0.99266,0.86387,0.55479,0.32171,0.96845,5.43508e-05,5.43508e-05,5.43508e-05
75,3359.87,0.61194,0.68344,1.05493,0.98717,0.97804,0.9926,0.86651,0.54694,0.32164,0.96659,5.24104e-05,5.24104e-05,5.24104e-05
76,3404.91,0.60989,0.67928,1.05406,0.98696,0.97939,0.99254,0.86509,0.55043,0.32173,0.96805,5.047e-05,5.047e-05,5.047e-05
77,3449.45,0.60881,0.67829,1.054,0.98618,0.98005,0.99248,0.86633,0.54871,0.32247,0.9658,4.85296e-05,4.85296e-05,4.85296e-05
78,3494.42,0.61025,0.67715,1.05695,0.98581,0.98048,0.9926,0.86633,0.54781,0.32033,0.96591,4.65892e-05,4.65892e-05,4.65892e-05
79,3540.23,0.60528,0.67019,1.05171,0.98672,0.97977,0.99262,0.8657,0.54866,0.32098,0.96653,4.46488e-05,4.46488e-05,4.46488e-05
80,3585.18,0.60427,0.66972,1.05146,0.98587,0.98168,0.99261,0.8664,0.54859,0.3191,0.96652,4.27084e-05,4.27084e-05,4.27084e-05
81,3629.57,0.60763,0.67209,1.05264,0.98865,0.97871,0.99256,0.86606,0.5457,0.31811,0.96521,4.0768e-05,4.0768e-05,4.0768e-05
82,3673.64,0.60172,0.6649,1.04909,0.98661,0.9802,0.99269,0.86588,0.54879,0.31803,0.96585,3.88276e-05,3.88276e-05,3.88276e-05
83,3718.03,0.60291,0.66252,1.04857,0.98572,0.98251,0.99263,0.867,0.54592,0.31612,0.9645,3.68872e-05,3.68872e-05,3.68872e-05
84,3763.01,0.59744,0.65455,1.04534,0.98296,0.98178,0.99269,0.86671,0.54766,0.31675,0.96516,3.49468e-05,3.49468e-05,3.49468e-05
85,3807.97,0.59698,0.65755,1.04665,0.98573,0.97996,0.99267,0.86602,0.54907,0.31604,0.96486,3.30064e-05,3.30064e-05,3.30064e-05
86,3853.04,0.59935,0.66346,1.04886,0.98328,0.98272,0.99265,0.86677,0.54536,0.3153,0.96423,3.1066e-05,3.1066e-05,3.1066e-05
87,3897.42,0.59975,0.65904,1.04659,0.98728,0.97937,0.99263,0.86806,0.54349,0.31439,0.96396,2.91256e-05,2.91256e-05,2.91256e-05
88,3941.91,0.59601,0.65062,1.04426,0.9875,0.98045,0.99268,0.86832,0.543,0.31415,0.96354,2.71852e-05,2.71852e-05,2.71852e-05
89,3986.42,0.59574,0.64911,1.04478,0.98853,0.97878,0.99275,0.86602,0.54376,0.31412,0.96356,2.52448e-05,2.52448e-05,2.52448e-05
90,4032.44,0.59563,0.65173,1.04519,0.98663,0.98064,0.99275,0.86678,0.54665,0.31359,0.96417,2.33044e-05,2.33044e-05,2.33044e-05
91,4108.27,0.50383,0.38116,0.96739,0.98544,0.98251,0.99268,0.86573,0.54929,0.31657,0.967,2.1364e-05,2.1364e-05,2.1364e-05
92,4152.81,0.49744,0.36899,0.96282,0.9849,0.98311,0.99262,0.86486,0.54929,0.31676,0.96715,1.94236e-05,1.94236e-05,1.94236e-05
93,4197.85,0.49413,0.36352,0.96076,0.98476,0.98298,0.9927,0.86613,0.54544,0.31541,0.96571,1.74832e-05,1.74832e-05,1.74832e-05
94,4241.4,0.49168,0.36074,0.95681,0.98583,0.98257,0.99266,0.86764,0.54172,0.31386,0.96453,1.55428e-05,1.55428e-05,1.55428e-05
95,4285.05,0.49083,0.36043,0.95813,0.98651,0.98227,0.99274,0.8681,0.54127,0.31191,0.9643,1.36024e-05,1.36024e-05,1.36024e-05
96,4328.62,0.49013,0.35979,0.95755,0.98656,0.98376,0.99275,0.86814,0.54176,0.31143,0.9642,1.1662e-05,1.1662e-05,1.1662e-05
97,4372.43,0.48839,0.35981,0.95373,0.98713,0.98285,0.99274,0.86791,0.54083,0.31116,0.96404,9.7216e-06,9.7216e-06,9.7216e-06
98,4416.13,0.48657,0.35515,0.95524,0.98854,0.98236,0.99277,0.86893,0.54026,0.31115,0.96379,7.7812e-06,7.7812e-06,7.7812e-06
99,4459.38,0.4854,0.35658,0.9542,0.98806,0.98278,0.99278,0.86943,0.53955,0.31057,0.96364,5.8408e-06,5.8408e-06,5.8408e-06
100,4504.44,0.48304,0.35375,0.95278,0.98755,0.98188,0.99276,0.86867,0.53997,0.31068,0.96371,3.9004e-06,3.9004e-06,3.9004e-06
